rank,keyword,npscore
1082,풍등,6
1089,해우,2
1057,핸드크림,6
1052,향로,6
1094,홈피,4
1120,게임방,1
1132,공격기,5
1123,기압계,5
1112,내복,1
1119,네온사인,1
1122,마들렌,3
1130,마시멜로,5
1102,마이크로미터,1
1126,만두피,5
1100,목도리,5
1113,보온병,1
1118,부대찌개,3
1124,북마크,5
1114,비치파라솔,5
1110,소방정,1
1098,숄,3
1109,수지침,5
1107,신발장,1
1097,쌀가루,3
1115,썰매,1
1128,아이스커피,3
1121,아이스크림콘,3
1111,안경테,3
1108,에폭시,1
1106,연하장,5
1129,염화마그네슘,3
1131,조사기,5
1104,진공관,3
1103,축전지,3
1105,카푸치노,5
1125,콘돔,1
1116,클리너,5
1117,팬케이크,5
1101,펜대,1
1095,포토북,5
1099,폴로셔츠,5
1127,퐁듀,5
1096,화선지,3
1136,가디건,4
1137,갈릭,2
1145,갈비구이,2
1142,너트,4
1161,돈부리,4
1169,디오라마,4
1171,리큐어,4
1166,모포,4
1165,미터기,2
1143,밀대,2
1154,바순,2
1156,백김치,4
1162,백설기,4
1150,벽시계,4
1139,복사지,4
1133,부페,3
1138,분필,4
1153,빨래판,4
1144,삐삐,4
1164,새우깡,4
1148,세척제,2
1149,쇼콜라,4
1159,순두부,4
1170,스타우트,2
1151,오이지,2
1168,옥수,2
1134,채리,2
1146,카세트,2
1141,커넥터,2
1152,코스튬,4
1155,테이핑,2
1135,토끼털,2
1140,팥죽,2
1167,페넌트,2
1157,평행봉,4
1158,항응고제,2
1163,헤어밴드,4
1147,형광등,4
1160,후프,4
1205,강냉이,3
1216,고령토,1
1212,곱창전골,3
1218,괭이,2
1196,구연산,1
1172,깔때기,3
1190,냉동기,3
1240,니퍼,1
1238,다이너마이트,3
1185,달걀노른자,3
1226,더치커피,3
1239,돌솥,1
1235,등갈비,1
1228,라비올리,3
1225,라이스페이퍼,3
1179,래틀,3
1220,롤백,3
1236,마노스,1
1194,마스카라,3
1204,물풀,3
1193,바둑판,3
1180,배전함,1
1211,범선,1
1237,베이킹파우더,1
1231,브라우니,3
1200,비치백,3
1224,빈대떡,3
1191,사진첩,2
1181,사카린,1
1217,색종이,3
1208,생황,1
1175,선별기,1
1222,선향,1
1223,세면대,3
1229,수륙양용차,1
1214,시도계,1
1232,식기세척기,3
1197,아귀찜,3
1233,아리수,3
1186,아이라이너,1
1184,안마기,3
1189,어육,1
1195,어탕,1
1206,에이프런,3
1221,열풍기,3
1207,염색약,3
1174,오이소박이,3
1198,우육,3
1187,인도지,3
1192,전기밥솥,1
1203,전력계,1
1234,증류기,3
1183,증류수,1
1209,체온계,1
1188,추출기,3
1177,카르보나라,3
1202,케첩,3
1178,코르크,3
1213,크레용,3
1173,토파즈,1
1199,팀파니,3
1201,파리채,3
1227,파운드케이크,1
1210,퍼퓸,3
1230,포마드,1
1176,합금철,1
1215,헤이즐넛,1
1182,화채,1
1219,후르츠,2
1284,게이지,2
1264,계란빵,2
1250,계전기,2
1299,고가구,1
1262,고등어구이,2
1293,곡주,2
1280,꼬리곰탕,2
1286,꽃마차,2
1258,꿀떡,2
1249,다리미,2
1259,닭튀김,2
1273,덤벨,2
1267,드라이아이스,2
1295,드라이플라워,2
1279,똑딱이,2
1271,라이플,2
1246,만돌린,2
1247,맥앤치즈,2
1291,맷돌,2
1276,물엿,2
1281,방안지,2
1255,브리프,2
1251,비브라폰,2
1275,사이드스텝,2
1241,사인펜,1
1298,색장,2
1243,생가죽,2
1282,석곡,2
1244,세면기,2
1288,세척액,2
1245,손두부,2
1253,스톱워치,2
1297,시험기,2
1300,싸이트,1
1272,아이젠,2
1277,양가죽,2
1287,오이선,2
1265,유산지,2
1268,의치,1
1260,이쑤시개,2
1290,잠바,2
1285,절구,2
1269,조상기,2
1254,종이봉투,2
1261,중국요리,2
1242,채칼,2
1257,책가방,2
1274,카네이션,2
1283,칼갈이,2
1294,커프스,2
1296,크리너,2
1266,토분,2
1256,톱밥,2
1252,팟타이,2
1289,팬케익,2
1248,풀오버,2
1270,프로슈토,2
1292,해시계,2
1278,흑맥주,2
1263,흑초,2
1398,가죽끈,1
1361,각설탕,1
1402,갈고리,1
1442,갈퀴,1
1362,갈탄,1
1301,거북등,1
1380,계량컵,1
1370,고무공,1
1309,고악기,1
1326,공기총,1
1302,구절판,1
1328,귀석,1
1408,극락조,1
1307,글리콜,1
1304,기동차,1
1443,기억관,1
1433,눈개승마,1
1332,달걀찜,1
1333,당구대,1
1416,대구탕,1
1364,동그랑땡,1
1403,등산화,1
1412,떡메,1
1334,럼주,1
1379,류트,1
1390,마그넷,1
1419,마이크로폰,1
1342,만보계,1
1396,메주,1
1432,면도날,1
1420,모노스키,1
1355,모밀,1
1376,모직물,1
1400,묘종,1
1348,밀면,1
1426,바움쿠헨,1
1305,바인더,1
1312,백파이프,1
1371,병맥주,1
1340,보면대,1
1347,보석상자,1
1373,보스턴백,1
1346,복분자주,1
1318,분류기,1
1439,붕소,1
1317,비디오카메라,1
1395,빨래집게,1
1306,사라다,1
1354,샌디,1
1406,생강차,1
1410,생밤,1
1374,생콩,1
1397,서류가방,1
1303,석필,1
1375,섬유판,1
1339,세탁비누,1
1313,소변기,1
1316,수피,1
1393,스패너,1
1383,스펙트로미터,1
1343,시트커버,1
1429,신시사이저,1
1366,실내복,1
1335,실로폰,1
1422,심벌즈,1
1369,쌀떡,1
1423,쓰촨요리,1
1441,안경다리,1
1319,안산암,1
1385,압력솥,1
1356,압지,1
1320,양악기,1
1413,여과기,1
1430,오뎅,1
1381,오픈카,1
1327,온장고,1
1409,와비,1
1311,외발자전거,1
1315,우스터소스,1
1359,윈치,1
1358,유량계,1
1338,유로퓸,1
1323,유리벽돌,1
1399,유칼립투스,1
